datetime	caudal
2015-08-05	42.81
2015-08-06	37.30
2015-08-07	27.50
2015-08-08	24.43
2015-08-09	28.11
2015-08-10	26.88
2015-08-11	24.43
2015-08-12	26.27
2015-08-13	28.72
2015-08-14	26.88
2015-08-16	47.72
2015-08-17	27.50
2015-08-18	20.75
2015-08-19	17.69
2015-08-20	16.47
2015-08-21	18.30
2015-08-22	15.24
2015-08-23	12.79
2015-08-24	11.56
2015-08-25	17.08
2015-08-26	12.79
2015-08-27	10.95
2015-08-28	31.17
2015-08-31	37.91
2015-09-03	40.98
2015-09-04	30.56
2015-09-05	39.14
2015-09-06	36.69
2015-09-07	44.65
2015-09-08	31.17
2015-09-09	21.98
2015-09-10	18.30
2015-09-11	15.24
2015-09-12	14.01
2015-09-13	12.18
2015-09-14	10.95
2015-09-15	9.73
2015-09-16	9.11
2015-09-17	8.50
2015-09-18	9.73
2015-09-19	12.18
2015-09-20	19.53
2015-09-21	20.75
2015-09-22	14.01
2015-09-23	17.08
2015-09-24	18.92
2015-09-25	12.79
2015-09-26	14.01
2015-09-27	15.85
2015-09-28	15.24
2015-09-29	12.79
2015-09-30	7.89
2015-10-01	11.56
2015-10-02	10.34
2015-10-03	9.11
2015-10-04	48.94
2015-10-06	32.40
2015-10-07	20.75
2015-10-08	12.79
2015-10-09	13.40
2015-10-10	19.53
2015-10-11	16.47
2015-10-12	20.75
2015-10-13	25.66
2015-10-14	17.69
2015-10-15	22.59
2015-10-16	40.98
2015-10-17	34.85
2015-10-20	32.40
2015-10-21	18.92
2015-10-22	14.63
2015-10-23	15.85
2015-10-24	11.56
2015-10-25	12.79
2015-10-26	13.40
2015-10-27	9.73
2015-10-28	9.73
2015-10-29	10.95
2015-10-30	9.11
2015-10-31	9.73
2015-11-01	7.89
2015-11-08	7.27
2015-11-09	21.37
2015-11-10	31.17
2015-11-11	19.53
2015-11-12	18.92
2015-11-13	29.33
2015-11-14	22.59
2015-11-15	44.65
2015-11-16	22.59
2015-11-17	14.01
2015-11-18	12.79
2015-11-19	7.27
2015-11-22	9.11
2015-11-25	10.34
2015-11-26	10.95
2015-11-28	7.27
2015-12-01	37.91
2015-12-02	47.72
2015-12-03	21.37
2015-12-04	7.89
2015-12-09	7.89
2015-12-10	9.73
2015-12-11	16.47
2015-12-15	29.95
2015-12-16	23.82
2015-12-17	17.69
2015-12-18	12.18
2015-12-19	23.82
2015-12-20	25.66
2015-12-21	20.75
2015-12-22	9.73
2015-12-23	9.11
2015-12-24	18.30
2015-12-25	20.75
2015-12-26	25.04
2015-12-27	33.62
2015-12-28	20.14
2015-12-29	23.82
2015-12-30	26.88
2015-12-31	40.36
2016-01-01	28.11
2016-01-02	15.24
2016-01-03	8.50
2016-01-12	18.92
2016-01-21	11.56
2016-01-22	9.73
2016-01-23	14.01
2016-02-04	7.89
2016-02-07	8.50
2016-02-08	21.98
2016-02-12	43.43
2016-02-13	26.88
2016-02-14	14.63
2016-02-15	37.30
2016-02-16	36.69
2016-02-17	31.78
2016-02-18	21.98
2016-02-19	17.08
2016-02-20	21.98
2016-02-21	14.63
2016-02-22	14.01
2016-02-23	14.63
2016-02-24	18.92
2016-02-25	20.75
2016-02-26	9.11
2016-02-29	9.11
2016-03-01	10.95
2016-03-02	14.01
2016-03-03	7.89
2016-03-04	7.27
2016-03-05	23.82
2016-03-06	14.01
2016-03-07	50.17
2016-03-08	28.11
2016-03-09	14.63
2016-03-10	17.69
2016-03-11	12.79
2016-03-13	8.50
2016-03-14	13.40
2016-03-15	12.79
2016-03-22	44.65
2016-03-23	29.95
2016-03-24	26.27
2016-03-25	26.27
2016-03-26	23.21
2016-03-27	32.40
2016-03-28	19.53
2016-03-29	15.85
2016-03-30	17.69
2016-03-31	19.53
2016-04-01	26.88
2016-04-02	24.43
2016-04-04	26.88
2016-04-06	29.95
2016-04-07	47.72
2016-04-08	39.75
2016-04-11	31.17
2016-04-12	25.66
2016-04-13	24.43
2016-04-14	21.37
2016-04-15	40.36
2016-04-16	29.95
2016-04-20	46.49
2016-04-21	37.91
2016-04-22	42.20
2016-04-24	31.78
2016-04-25	21.98
2016-04-26	19.53
2016-04-27	18.92
2016-04-29	34.85
2016-04-30	21.37
2016-05-01	21.37
2016-05-02	17.08
2016-05-03	16.47
2016-05-04	14.63
2016-05-05	37.91
2016-05-06	40.98
2016-05-07	28.72
2016-05-08	21.37
2016-05-09	23.82
2016-05-10	23.21
2016-05-11	14.63
2016-05-12	27.50
2016-05-13	40.36
2016-05-15	44.04
2016-05-18	41.59
2016-05-19	25.04
2016-05-20	47.72
2016-05-21	36.07
2016-05-22	48.94
2016-05-26	40.36
2016-05-27	26.88
2016-05-28	21.98
2016-05-29	47.72
2016-05-30	29.95
2016-05-31	20.14
2016-06-01	18.30
2016-06-02	20.75
2016-06-03	26.88
2016-06-04	25.66
2016-06-05	18.92
2016-06-06	37.91
2016-06-07	23.82
2016-06-08	23.82
2016-06-09	22.59
2016-06-10	26.27
2016-06-11	26.88
2016-06-14	46.49
2016-06-15	29.95
2016-06-16	31.78
2016-06-25	49.55
2016-06-26	42.81
2016-06-27	44.04
2016-06-30	48.33
2016-07-01	34.85
2016-07-02	29.33
2016-07-03	30.56
2016-07-04	26.27
2016-07-05	21.98
2016-07-06	21.37
2016-07-07	45.26
2016-07-09	44.04
2016-07-11	42.20
2016-07-12	31.78
2016-07-13	26.27
2016-07-14	37.30
2016-07-15	30.56
2016-07-16	21.37
2016-07-17	29.33
2016-07-19	36.07
2016-07-21	34.85
2016-07-22	23.21
2016-07-23	20.14
2016-07-24	17.69
2016-07-25	15.85
2016-07-26	20.75
2016-07-27	49.55
2016-08-01	47.10
2016-08-02	29.95
2016-08-03	34.24
2016-08-04	34.24
2016-08-05	25.04
2016-08-06	20.14
2016-08-07	27.50
2016-08-08	42.20
2016-08-09	31.78
2016-08-10	25.66
2016-08-12	48.33
2016-08-13	25.66
2016-08-14	18.30
2016-08-15	15.85
2016-08-16	23.82
2016-08-17	26.27
2016-08-18	42.81
2016-08-19	28.72
2016-08-20	20.75
2016-08-21	15.24
2016-08-23	40.36
2016-08-24	21.98
2016-08-25	16.47
2016-08-26	14.01
2016-08-27	14.63
2016-08-28	12.18
2016-08-29	10.34
2016-08-30	9.11
2016-08-31	8.50
2016-09-01	17.08
2016-09-02	14.01
2016-09-03	11.56
2016-09-04	10.34
2016-09-05	11.56
2016-09-06	21.37
2016-09-07	11.56
2016-09-08	7.89
2016-09-10	12.18
2016-09-11	20.75
2016-09-12	14.01
2016-09-13	9.11
2016-09-15	12.79
2016-09-16	9.11
2016-09-17	7.27
2016-09-18	20.14
2016-09-19	17.69
2016-09-20	39.75
2016-09-21	21.37
2016-09-22	10.95
2016-09-23	10.95
2016-09-24	26.88
2016-09-25	26.27
2016-09-26	23.21
2016-09-27	13.40
2016-09-28	25.66
2016-09-29	21.37
