comid;latitude;longitude;river;location1;location2
9024154;-0.18528;-75.708;;SUCUMBIOS;CUYABENO
9024157;-0.17907;-79.61525;Rio Quinin;MANABI;FLAVIO ALF
9024182;-0.18764;-75.93519;Rio Cuyabe;SUCUMBIOS;CUYABENO
9024183;-0.21261;-75.97656;Quebrada B;SUCUMBIOS;CUYABENO
9024186;-0.19875;-80.25806;Rio Jama;MANABI;JAMA
9024187;-0.22086;-79.58106;Rio Suma;MANABI;EL CARMEN
9024194;-0.21945;-78.05865;Rio Oyacac;NAPO;EL CHACO
9024195;-0.21353;-78.01472;Rio Cariya;NAPO;EL CHACO
9024232;-0.1919;-78.33475;Rio Guambi;PICHINCHA;QUITO
9024233;-0.23138;-76.56463;;SUCUMBIOS;SHUSHUFINDI
9024234;-0.19636;-76.59988;Rio Shushu;SUCUMBIOS;SHUSHUFINDI
9024236;-0.22112;-77.70014;Rio Quijos;NAPO;EL CHACO
9024248;-0.14263;-78.73814;Rio Cinto;PICHINCHA;QUITO
9024254;-0.21985;-77.93234;Rio Cedro;NAPO;EL CHACO
9024286;-0.24839;-77.88973;Rio Oyacac;NAPO;EL CHACO
9024287;-0.2501;-77.85758;Rio Santa;NAPO;EL CHACO
9024292;-0.23231;-78.35469;Quebrada A;PICHINCHA;QUITO
9024314;-0.25775;-78.33698;Quebrada C;PICHINCHA;QUITO
9024323;-0.23362;-76.1975;;SUCUMBIOS;CUYABENO
9024326;-0.24371;-75.91525;;SUCUMBIOS;CUYABENO
9024328;-0.24977;-77.96396;Rio Oyacac;NAPO;EL CHACO
9024329;-0.24123;-77.50398;;NAPO;EL CHACO
9024335;-0.26168;-78.33923;Quebrada A;PICHINCHA;QUITO
9024336;-0.2488;-76.82283;;ORELLANA;LA JOYA DE
9024346;-0.24347;-77.20055;;ORELLANA;ORELLANA
9024347;-0.25908;-77.13399;;ORELLANA;ORELLANA
9024352;-0.2344;-78.50524;Rio Machan;PICHINCHA;QUITO
9024354;-0.26662;-76.8324;Rio Jivino;ORELLANA;LA JOYA DE
9024380;-0.19471;-78.79179;Rio Saloya;PICHINCHA;QUITO
9024385;-0.26241;-80.23602;Rio Jama;MANABI;JAMA
9024386;-0.28261;-80.19462;Rio El Ven;MANABI;JAMA
9024410;-0.23175;-78.43378;Rio San Pe;PICHINCHA;QUITO
9024412;-0.25524;-79.74626;Rio Quinin;MANABI;FLAVIO ALF
9024438;-0.25808;-76.37139;Rio Aguari;SUCUMBIOS;CUYABENO
9024466;-0.2896;-76.77882;Rio Jivino;ORELLANA;LA JOYA DE
9024467;-0.25652;-76.77758;Rio Jivino;ORELLANA;LA JOYA DE
9024473;-0.22387;-79.14006;Rio Toachi;SANTO DOMINGO;SANTO DOMINGO
9024493;-0.29341;-76.03001;;SUCUMBIOS;CUYABENO
9024495;-0.27875;-77.69218;Rio Murall;NAPO;EL CHACO
9024496;-0.31734;-76.48288;;SUCUMBIOS;SHUSHUFINDI
9024497;-0.27726;-76.50277;;SUCUMBIOS;SHUSHUFINDI
9024502;-0.2782;-77.74265;Rio Quijos;NAPO;EL CHACO
9024505;-0.31534;-78.9951;Rio Toachi;SANTO DOMINGO;SANTO DOMINGO
9024506;-0.31247;-77.18892;Rio Biguno;ORELLANA;ORELLANA
9024507;-0.2945;-77.17274;Rio Punino;ORELLANA;ORELLANA
9024515;-0.29956;-77.83545;Rio Oyacac;NAPO;EL CHACO
9024520;-0.27008;-78.36179;Quebrada R;PICHINCHA;QUITO
9024534;-0.32752;-79.18386;Rio Baba;SANTO DOMINGO;SANTO DOMINGO
9024538;-0.33148;-90.77123;;GALAPAGOS;SANTA CRUZ
9024554;-0.32385;-79.02858;Rio Lelia;SANTO DOMINGO;SANTO DOMINGO
9024555;-0.27466;-75.47334;;SUCUMBIOS;CUYABENO
9024556;-0.32771;-75.45125;;;
9024587;-0.34038;-79.18295;Rio Mapali;SANTO DOMINGO;SANTO DOMINGO
9024594;-0.34632;-78.84202;Rio Chicto;SANTO DOMINGO;SANTO DOMINGO
9024597;-0.33783;-79.61505;Rio El Mon;MANABI;EL CARMEN
9024598;-0.33319;-79.58425;Rio Las Va;MANABI;EL CARMEN
9024599;-0.32981;-78.89722;Rio Pilato;SANTO DOMINGO;SANTO DOMINGO
9024606;-0.33723;-79.21003;Rio Baba;SANTO DOMINGO;SANTO DOMINGO
9024620;-0.30395;-75.79557;;SUCUMBIOS;CUYABENO
9024658;-0.33832;-77.3775;;NAPO;EL CHACO
9024662;-0.35737;-78.83826;Rio Pilato;PICHINCHA;MEJIA
9024667;-0.35024;-78.08321;Rio Chalpi;NAPO;QUIJOS
9024674;-0.36674;-77.4126;;NAPO;EL CHACO
9024677;-0.32816;-75.53271;;SUCUMBIOS;CUYABENO
9024683;-0.34305;-78.92605;Rio Toachi;COTOPAXI;SIGCHOS
9024691;-0.3698;-78.7924;Rio Santa;PICHINCHA;MEJIA
9024700;-0.37812;-77.15354;;ORELLANA;ORELLANA
9024701;-0.34735;-77.15078;;ORELLANA;ORELLANA
9024710;-0.3484;-77.80647;Rio Quijos;NAPO;EL CHACO
9024716;-0.37559;-78.11974;Rio Papall;NAPO;QUIJOS
9024730;-0.37843;-77.8465;Rio Sardin;NAPO;EL CHACO
9024743;-0.33723;-78.42167;Rio Pita;PICHINCHA;RUMIÑAHUI
9024748;-0.31188;-76.88961;Rio Blanco;ORELLANA;LA JOYA DE
9024749;-0.3735;-75.83285;;SUCUMBIOS;CUYABENO
9024751;-0.38566;-76.87291;Rio Huamay;ORELLANA;LA JOYA DE
9024757;-0.38299;-76.23735;;SUCUMBIOS;SHUSHUFINDI
9024758;-0.38505;-75.4459;;SUCUMBIOS;CUYABENO
9024759;-0.36501;-75.43148;;;
9024772;-0.32971;-80.0469;Rio Jama;MANABI;CHONE
9024778;-0.35084;-80.16665;Rio Jama;MANABI;SUCRE
9024779;-0.39827;-80.10058;Rio Jama;MANABI;CHONE
9024784;-0.38731;-75.53869;Quebrada S;SUCUMBIOS;CUYABENO
9024787;-0.40146;-80.11542;Rio Cucuy;MANABI;CHONE
9024789;-0.2234;-77.07021;Rio Coca;ORELLANA;ORELLANA
9024806;-0.39088;-77.36643;Rio Payami;NAPO;EL CHACO
9024813;-0.3793;-79.20803;Rio Otongo;SANTO DOMINGO;SANTO DOMINGO
9024814;-0.3978;-77.02746;Rio Quillu;ORELLANA;ORELLANA
9024823;-0.38412;-76.36594;Rio Panaya;SUCUMBIOS;SHUSHUFINDI
