basin;code;name;latitude;longitude;elevation;comid;river;location1;location2;alert
GUAYAS;H0345;ZAPOTAL EN CATARAMA(CATARAMA EN);-1.57125;-79.44875;40;9028791;RIO LAS PIEDRAS;LOS RIOS;URDANETA;R0
GUAYAS;H0346;ZAPOTAL EN LECHUGAL;-1.398333;-79.429167;40;9028108;RIO ZAPOTAL;LOS RIOS;VENTANAS;R0
GUAYAS;H0347;QUEVEDO EN QUEVEDO;-1.007915;-79.457071;125;9027991;RIO QUEVEDO;LOS RIOS;QUEVEDO;R0
GUAYAS;H0348;VINCES EN VINCES-DCP;-1.547083;-79.75;41;9029256;RIO VINCES;LOS RIOS;VINCES;R0
GUAYAS;H0349;BABAHOYO EN BABAHOYO;-1.798153;-79.538153;9;9029697;RIO BABAHOYO;LOS RIOS;BABAHOYO;R0
GUAYAS;H0351;DAULE EN PICHINCHA;-1.04875;-79.817083;70;9026890;RIO DAULE;MANABI;PICHINCHA;R0
GUAYAS;H0352;MACUL EN PTE.CARRETERA;-1.06625;-79.61625;54;9027907;RIO MACUL;GUAYAS;EMPALME;R0
GUAYAS;H0354;DAULE EN LA LINDA;-1.332957;-79.889583;8;9027917;RIO DAULE;GUAYAS;BALZAR;R0
GUAYAS;H0359;PAJAN EN AGUA FRIA;-1.610417;-80.377083;323;9028982;RIO PAJAN;MANABI;PAJAN;R0
GUAYAS;H0363;DAULE EN BALZAR;-1.359974;-79.912918;30;9028567;RIO DAULE;GUAYAS;BALZAR;R0
GUAYAS;H0365;DAULE EN LA CAPILLA;-1.699584;-79.994969;13;9029221;RIO DAULE;GUAYAS;SANTA LUCIA;R0
GUAYAS;H0371;SAN PABLO EN PALMAR;-1.830205;-79.437294;10;9029742;;LOS RIOS;MONTALVO;R0
GUAYAS;H0373;VERNAZA DD VINCES;-1.63875;-79.79875;16;9029256;RIO VINCES;LOS RIOS;VINCES;R0
GUAYAS;H0375;CHANCHAN DJ HUATAXI;-2.274583;-78.960417;1480;9031418;RIO CHANCHAN;CHIMBORAZO;ALAUSI;R0
GUAYAS;H0385;ANGAS AJ CHANCHAN;-2.302923;-79.061665;742;9031643;RIO ANGAS;CANAR;CANAR;R0
GUAYAS;H0390;CHIMBO AJ MILAGRO INAMHI;-2.135417;-79.667083;30;9031142;RIO CHIMBO;GUAYAS;SAN JACINTO DE YAGUACHI;R0
GUAYAS;H0391;DAULE EN STA.LUCIA;-1.717917;-79.992083;12;9029221;RIO DAULE;GUAYAS;SANTA LUCIA;R0
GUAYAS;H0392;JUNQUILLO DD VERNASA;-1.682083;-79.802917;25;9029256;RIO VINCES;LOS RIOS;VINCES;R0
