index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
146,PASTAZA,H0772,PUMACUNCHI EN H.PATOCOCHA,-0.87014276766,-78.6312500059,2650,141836,9026501,Pumacunchi,Cotopaxi,Latacunga,Guaytacama,R0
147,PASTAZA,H0773,ALAQUEZ AJ CUTUCHI(COL.S.RODR),-0.902083327027,-78.6245833387,2700,141777,9026346,Alaquez,Cotopaxi,Latacunga,Latacunga,R0
148,PASTAZA,H0774,CUTUCHI EN LATACUNGA,-0.93624999396,-78.6179166724,2590,141837,9026502,Cutuchi,Cotopaxi,Latacunga,Latacunga,R0
149,PASTAZA,H0775,PUMACUNCHI EN LATACUNGA,-0.896839789362,-78.6312500059,2600,141836,9026501,Pumacunchi,Cotopaxi,Latacunga,Latacunga,R0
150,NAPO,H0776,CUNUYACU EN LATACUNGA,-0.929801355213,-78.6198013670999,2585,0,9026442,Yanayacu,Cotopaxi,Latacunga,Latacunga,R0
151,PASTAZA,H0781,VERDE AJ PASTAZA,-1.400416,-78.2987499999999,1495,0,9028088,Verde,Tungurahua,Banos De Agua Santa,Rio Verde,R0
152,PASTAZA,H0783,OZOGOCHE EN LOS LAGOS,-2.251111,-78.5999999999999,3756,0,9031172,Osogoche,Chimborazo,Alausi,Achupallas,R0
153,PASTAZA,H0785,CHIBUNGA EN CALPI,-1.65150851637,-78.7506751947999,3020,143034,9029223,Chibunga,Chimborazo,Riobamba,Calpi,R0
154,PASTAZA,H0786,GUAMOTE AJ CEBADAS,-1.877917,-78.6342219999999,2840,143355,9030020,Guamote,Chimborazo,Guamote,Cebadas,R0
155,PASTAZA,H0787,ALAO EN HDA.ALAO,-1.877083,-78.5117649999999,3200,143261,9029868,Alao,Chimborazo,Riobamba,Pungala,R0
156,PASTAZA,H0788,PUELA AJ CHAMBO,-1.512222,-78.474722,2475,142738,9028651,Puela,Chimborazo,Penipe,El Altar,R0
157,PASTAZA,H0789,GUARGUALLA AJ CEBADAS,-1.869583,-78.60625,2828,143284,9030110,Huargualla,Chimborazo,Guamote,Cebadas,R0
158,PASTAZA,H0790,CEBADAS AJ GUAMOTE,-1.89625,-78.6404169999999,2840,143602,9030588,Cebadas,Chimborazo,Guamote,Cebadas,R0
159,PASTAZA,H0791,BALSACON EN SAN ANDRES,-1.572522,-78.714584,3112,0,9028882,Guano,Chimborazo,Guano,San Andres,R0
160,PASTAZA,H0792,CUTUCHI AJ YANAYACU,-1.064583,-78.602917,2582,142048,9026971,Cutuchi,Cotopaxi,Salcedo,San Miguel,R0
161,PASTAZA,H0793,NAGSICHE PLTA.ELEC.CUSUBAMBA,-1.064454,-78.6919539999999,2962,142038,9026947,Nagsiche,Cotopaxi,Salcedo,Cusubamba,R0
162,PASTAZA,H0795,NEGRO AJ PUMACUNCHI,-0.777916660371,-78.6909170708999,3060,141836,9026501,Pumacunchi,Cotopaxi,Latacunga,Toacaso,R0
163,PASTAZA,H0796,YANAYACU EN PTE.PUCARA,-1.08374999325,-78.4587500055999,3095,142074,9027022,Yanayacu,Tungurahua,Santiago De Pillaro,San Jose De Poalo,R0
164,PASTAZA,H0797,PANSACHI EN HDA.BAYOS,-0.810278,-78.464444,3574,0,9026111,Tulugchi,Cotopaxi,Latacunga,Alaquez,R0
165,PASTAZA,H0798,PASTAZA AJ ENCANTO,-1.427917,-78.1779169999999,1150,142942,9029024,Pastaza,Tungurahua,Banos De Agua Santa,Rio Negro,R0
