index,basin,code,name,latitude,longitude,elevation,comidant,comid,river,loc1,loc2,loc3,alert
161,PASTAZA,H0786,GUAMOTE AJ CEBADAS,-1.877917,-78.634222,2840,143355,9030020,RIO GUAMOTE,CHIMBORAZO,GUAMOTE,CEBADAS,R0
162,PASTAZA,H0787,ALAO EN HDA.ALAO,-1.877083,-78.511765,3200,143261,9029868,RIO ALAO,CHIMBORAZO,RIOBAMBA,PUNGALA,R0
163,PASTAZA,H0789,GUARGUALLA AJ CEBADAS,-1.869583,-78.60625,2828,143284,9030110,RIO HUARGALLA,CHIMBORAZO,GUAMOTE,CEBADAS,R0
164,PASTAZA,H0790,CEBADAS AJ GUAMOTE,-1.89625,-78.640417,2840,143602,9030588,RIO CEBADAS,CHIMBORAZO,GUAMOTE,CEBADAS,R0
165,PASTAZA,H0791,BALSACON EN SAN ANDRES,-1.572522,-78.714584,3112,0,9028882,RIO GUANO,CHIMBORAZO,GUANO,SAN ANDRES,R0
166,PASTAZA,H0792,CUTUCHI AJ YANAYACU,-1.064583,-78.602917,2582,142048,9026971,RIO CUTUCHI,COTOPAXI,SALCEDO,SAN MIGUEL,R0
167,PASTAZA,H0793,NAGSICHE PLTA.ELEC.CUSUBAMBA,-1.064454,-78.691954,2962,142038,9026947,RIO NAGSICHE,COTOPAXI,SALCEDO,CUSUBAMBA,R0
168,PASTAZA,H0795,NEGRO AJ PUMACUNCHI,-0.777916660371272,-78.6909170708789,3060,141836,9026501,RIO PUMACUCHI,COTOPAXI,LATACUNGA,TOACASO,R0
169,PASTAZA,H0796,YANAYACU EN PTE.PUCARA,-1.08374999325052,-78.4587500055987,3095,142074,9027022,RIO YANAYACU,TUNGURAHUA,SANTIAGO DE PILLARO,SAN JOSE DE POALO,R0
170,PASTAZA,H0797,PANSACHI EN HDA.BAYOS,-0.810278,-78.464444,3574,0,9026111,RIO TULUGCHI,COTOPAXI,LATACUNGA,ALAQUEZ,R0
171,PASTAZA,H0798,PASTAZA AJ ENCANTO,-1.427917,-78.177917,1150,142942,9029024,RIO PASTAZA,TUNGURAHUA,BANOS DE AGUA SANTA,RIO NEGRO,R0
172,PASTAZA,H0800,PASTAZA EN BANOS,-1.39375,-78.424583,1841,142552,9028091,RIO PASTAZA,TUNGURAHUA,BANOS DE AGUA SANTA,BANOS DE AGUA SANTA,R0
173,PASTAZA,H0801,AMBATO EN AMBATO,-1.26124999346478,-78.6626469096447,2680,142432,9027591,RIO AMBATO,TUNGURAHUA,AMBATO,QUISAPINCHA,R0
174,PASTAZA,H0817,PATATE DJ AMBATO,-1.234651,-78.536184,2243,142550,9028087,RIO PATATE,TUNGURAHUA,SANTIAGO DE PILLARO,EMILIO MARIA TERAN (RUMIPAMBA),R0
175,PASTAZA,H0826,CHAMBO EN HAD.CAHUAJI,-1.455833,-78.5075,2295,142718,9028483,RIO CHAMBO,CHIMBORAZO,PENIPE,BILBAO,R0
176,PASTAZA,H0839,MUYO  AJ PASTAZA,-1.36858569609188,-78.4027523753106,1700,142528,9028041,RIO VERDE CHICO,TUNGURAHUA,BANOS DE AGUA SANTA,ULBA,R0
177,PASTAZA,H0854,CUTUCHI EN CASPI,-0.74375,-78.607083,2930,141776,9025994,RIO CUTUCHI,COTOPAXI,LATACUNGA,MULALO,R0
178,PASTAZA,H0857,ILLUCHI AJ CUTUCHI (CVA AMBATO),-0.982917,-78.602083,2712,0,9026657,RIO LLUCHI,COTOPAXI,LATACUNGA,BELISARIO QUEVEDO (GUANAILIN),R0
179,PASTAZA,H0860,AMBATO EN MARCOPAMBA,-1.28291666020071,-78.741250006056,2960,142432,9027661,RIO AMBATO,TUNGURAHUA,AMBATO,SAN FERNANDO,R0
180,PASTAZA,H0863,ALAQUEZ EN PUENTE (LAIGUA),-0.860503558094908,-78.6071702368455,0,141777,9026346,RIO ALAQUEZ,COTOPAXI,LATACUNGA,ALAQUEZ,R0
181,SANTIAGO,H0883,TUTANANGOZA EN SUCUA,-2.46541665955525,-78.1762500060398,1572,144276,9032142,RIO TUTANANGOSA,MORONA SANTIAGO,SUCUA,ASUNCION,R0
182,SANTIAGO,H0885,NANGARITZA AJ ZAMORA,-3.919594,-78.680417,870,147503,9038185,RIO NANGARITZA,ZAMORA CHINCHIPE,PAQUISHA,PAQUISHA,R0
183,SANTIAGO,H0886,SABANILLA AJ ZAMORA,-4.037917,-79.008747,1080,147035,9038539,RIO SABANILLA,ZAMORA CHINCHIPE,ZAMORA,SABANILLA,R0
184,SANTIAGO,H0887,YACUAMBI AJ ZAMORA,-3.915418,-78.849481,961,146779,9037867,RIO YACUAMBI,ZAMORA CHINCHIPE,ZAMORA,GUADALUPE,R0
185,SANTIAGO,H0888,ZAMORA DJ S.FRANCISCO,-3.955417,-79.027917,1590,146999,9038312,RIO ZAMORA,ZAMORA CHINCHIPE,ZAMORA,SABANILLA,R0
186,SANTIAGO,H0889,ZAMORA DJ SABANILLA (EN ZAMORA),-4.06375,-78.95125,902,147071,9038463,RIO ZAMORA,ZAMORA CHINCHIPE,ZAMORA,ZAMORA,R0
187,SANTIAGO,H0890,ZAMORA D.J. NANGARITZA,-3.764583,-78.64125,890,146438,9037137,RIO ZAMORA,ZAMORA CHINCHIPE,YANTZAZA,LOS ENCUENTROS,R0
188,SANTIAGO,H0892,MAZAR AJ PAUTE,-2.57375,-78.64625,2126,144412,9032447,RIO MAZAR,CANAR,AZOGUES,RIVERA,R0
189,SANTIAGO,H0893,YANUNCAY AJ TARQUI,-2.91412813756202,-79.0117051942688,2500,145043,9033988,RIO YANUNCAY,AZUAY,CUENCA,CUENCA,R0
190,SANTIAGO,H0894,PAUTE EN PAUTE(DJ GUALACEO),-2.761291,-78.739625,2104,144847,9033441,RIO PAUTE,AZUAY,PAUTE,DUG DUG,R0
191,SANTIAGO,H0895,TOMEBAMBA EN MONAY,-2.896224,-78.967885,2353,144934,9033646,RIO TOMEBAMBA,AZUAY,CUENCA,CUENCA,R0
192,SANTIAGO,H0896,MATADERO EN SAYAUSI,-2.878003,-79.068664,2602,144933,9033645,RIO AMARILLO,AZUAY,CUENCA,SAN JOAQUIN,R0
193,SANTIAGO,H0898,PAUTE DJ PALMIRA,-2.56328364933158,-78.5582836618541,2100,144638,9032557,RIO PAUTE,CANAR,AZOQUES,RIVERA,R0
