index,comid,latitude,longitude,river,loc0,loc1,loc2,alert
138,9022031,0.56198,-78.00018,Rio El Ang,Carchi,CARCHI,MIRA,R0
139,9022038,0.47997,-78.69385,Rio Barbud,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
140,9022041,0.47348,-78.0446,Rio Chota,Carchi y I,CARCHI,BOLIVAR,R0
141,9022043,0.48048,-78.70522,,Esmeraldas,ESMERALDAS,ELOY ALFAR,R0
142,9022046,0.5124,-79.70147,Rio Viche,Esmeraldas,ESMERALDAS,QUININDE,R0
143,9022047,0.47422,-79.38621,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
144,9022055,0.48399,-79.23691,Rio Desgra,Esmeraldas,ESMERALDAS,QUININDE,R0
145,9022064,0.47705,-79.07756,Rio Canand,Esmeraldas,ESMERALDAS,QUININDE,R0
146,9022068,0.46345,-77.53991,Rio Sucio,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
147,9022069,0.52875,-77.51354,,,,,R0
148,9022076,0.46082,-79.15308,,Esmeraldas,ESMERALDAS,QUININDE,R0
149,9022078,0.46089,-79.39054,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
150,9022081,0.45805,-79.20152,Rio Canand,Esmeraldas,ESMERALDAS,QUININDE,R0
151,9022114,0.45903,-79.31287,Rio Grande,Esmeraldas,ESMERALDAS,QUININDE,R0
152,9022128,0.44576,-79.15613,,Esmeraldas,ESMERALDAS,QUININDE,R0
153,9022137,0.47663,-77.8822,Rio Rumich,Carchi,CARCHI,BOLIVAR,R0
154,9022139,0.44978,-77.9833,Rio Chota,Carchi y I,CARCHI,BOLIVAR,R0
155,9022167,0.50063,-79.64801,Rio Cube,Esmeraldas,ESMERALDAS,QUININDE,R0
156,9022170,0.46349,-78.43071,Rio Pitura,Imbabura,IMBABURA,COTACACHI,R0
157,9022173,0.44463,-78.01106,Quebrada d,Imbabura,IMBABURA,IBARRA,R0
158,9022185,0.41761,-78.44219,Rio Irubi,Imbabura,IMBABURA,COTACACHI,R0
159,9022227,0.41763,-77.93365,Rio Chota,Carchi y I,IMBABURA,PIMAMPIRO,R0
160,9022233,0.4508,-78.1223,Rio Ambi,Imbabura,IMBABURA,IBARRA,R0
161,9022258,0.4071,-77.20008,,,,,R0
162,9022273,0.39187,-77.89517,Rio Escudi,Carchi y I,CARCHI,BOLIVAR,R0
163,9022275,0.40495,-76.33843,,,,,R0
164,9022281,0.42232,-79.3647,Rio Cole,Esmeraldas,ESMERALDAS,QUININDE,R0
165,9022282,0.40738,-76.24811,,,,,R0
166,9022290,0.38242,-77.15625,,,,,R0
167,9022298,0.43151,-77.68815,Rio Cofane,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
168,9022304,0.381,-78.23124,Rio Cariya,Imbabura,IMBABURA,SAN MIGUEL,R0
169,9022305,0.38722,-78.17599,Rio Ambi,Imbabura,IMBABURA,ANTONIO ANTONIO,R0
170,9022306,0.37914,-76.19066,,,,,R0
171,9022308,0.37752,-77.68634,Rio Condue,Sucumbios,SUCUMBIOS,SUCUMBIOS,R0
172,9022324,0.37463,-77.12325,,Sucumbios,SUCUMBIOS,LAGO AGRIO,R0
173,9022327,0.37594,-79.50549,Rio Zapota,Esmeraldas,ESMERALDAS,QUININDE,R0
174,9022328,0.40681,-79.10289,Rio Jordan,Esmeraldas,ESMERALDAS,QUININDE,R0
175,9022336,0.39452,-77.32472,,,,,R0
176,9022366,0.38937,-78.48383,Rio Apuela,Imbabura,IMBABURA,COTACACHI,R0
177,9022372,0.35788,-79.52017,Rio Cupa,Esmeraldas,ESMERALDAS,QUININDE,R0
178,9022382,0.39812,-78.52533,Rio Cristo,Imbabura,IMBABURA,COTACACHI,R0
179,9022383,0.34944,-78.51999,Rio Intag,Imbabura,IMBABURA,COTACACHI,R0
180,9022410,0.40516,-79.44004,Rio Blanco,Esmeraldas,ESMERALDAS,QUININDE,R0
181,9022414,0.3683,-77.92593,Rio Mataqu,Imbabura,IMBABURA,PIMAMPIRO,R0
182,9022426,0.34754,-79.48699,Estero Gua,Esmeraldas,ESMERALDAS,QUININDE,R0
183,9022427,0.33468,-79.47271,Rio Quinin,Esmeraldas,ESMERALDAS,QUININDE,R0
184,9022468,0.34188,-76.25908,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
185,9022469,0.3548,-76.12943,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
186,9022479,0.35959,-79.30576,Rio Guayll,Esmeraldas,ESMERALDAS,QUININDE,R0
187,9022480,0.33853,-78.49721,Rio Asabi,Imbabura,IMBABURA,COTACACHI,R0
188,9022510,0.31545,-79.1289,Rio Guayll,Imbabura,PICHINCHA,PEDRO VICE,R0
189,9022511,0.32105,-76.06134,,Sucumbios,SUCUMBIOS,PUTUMAYO,R0
190,9022512,0.31382,-76.0146,,,,,R0
191,9022517,0.31809,-77.92319,Rio Blanco,Imbabura,IMBABURA,PIMAMPIRO,R0
192,9022534,0.29833,-79.11685,Rio Crista,Pichincha,PICHINCHA,PEDRO VICE,R0
